gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
1131722,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131722?gameHash=d5506c2eb64b35ab,CBLoL,2019-2,43624.58569,2,1,9.11,7,Red,Jungle,LeChase,Uppercut,Sejuani,Morgana,Sona,Aatrox,Renekton,Neeko,36.55,0,0,3,0,1,13,0,0,0,0,0,0,0,12.53725,0,0.05471956224,0.3830369357,0,10.81991667,3,2,2,2,2,0,0,0,0,0,0,,0,16.52736667,1,1,3,10,0,29.21161667,0,1,3521,96.33378933,0.1288374986,0.1450355558,17,0.4651162791,0.1452991453,17,0.4651162791,15,18, , ,9632,133.5890561,9275,-0.2354340071,28,140,110,1,4.596443228,3155,3470,-315,4308,5342,-1034,3447,3843,-396,61,71,-10,83,113,-30
1131722,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131722?gameHash=d5506c2eb64b35ab,CBLoL,2019-2,43624.58569,2,1,9.11,8,Red,Middle,Anyyy,Uppercut,Azir,Morgana,Sona,Aatrox,Renekton,Neeko,36.55,0,0,2,0,1,13,0,0,0,0,0,0,0,12.53725,0,0.1641586867,0.3830369357,0,10.81991667,3,2,0,0,0,0,0,0,0,0,0,,0,16.52736667,1,1,3,10,0,29.21161667,0,1,4546,124.377565,0.1663434447,0.2561882526,19,0.5198358413,0.1623931624,12,0.3283173735,8,8, , ,13374,235.969357,12650,0.009930486594,335,33,33,0,10.06839945,3292,3088,204,4967,4598,369,4796,4863,-67,92,85,7,145,128,17
1131722,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131722?gameHash=d5506c2eb64b35ab,CBLoL,2019-2,43624.58569,2,1,9.11,9,Red,ADC,Alternative,Uppercut,Lucian,Morgana,Sona,Aatrox,Renekton,Neeko,36.55,0,0,4,1,1,13,0,0,0,0,0,0,0,12.53725,0,0.05471956224,0.3830369357,0,10.81991667,3,2,0,0,0,0,0,0,0,0,0,,0,16.52736667,1,1,3,10,0,29.21161667,0,1,10275,281.121751,0.3759742398,0.2560991404,17,0.4651162791,0.1452991453,10,0.2735978112,7,7, , ,13371,235.8872777,13250,-0.07272727273,321,27,23,0,9.52120383,3299,3100,199,4756,5006,-250,3218,2973,245,90,79,11,132,119,13
1131722,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131722?gameHash=d5506c2eb64b35ab,CBLoL,2019-2,43624.58569,2,1,9.11,10,Red,Support,Damage,Uppercut,Lux,Morgana,Sona,Aatrox,Renekton,Neeko,36.55,0,0,3,0,1,13,0,0,0,0,0,0,1,12.53725,0,0,0.3830369357,0,10.81991667,3,2,0,0,0,0,0,0,0,0,0,,0,16.52736667,1,1,3,10,0,29.21161667,0,1,2806,76.77154583,0.1026748143,0.06415132451,49,1.340629275,0.4188034188,16,0.4377564979,14,17, , ,6909,59.08837209,6725,-0.267310789,23,0,0,0,0.6292749658,1919,2238,-319,2896,3542,-646,2662,2834,-172,2,2,0,8,5,3
1131722,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131722?gameHash=d5506c2eb64b35ab,CBLoL,2019-2,43624.58569,2,1,9.11,100,Blue,Team,Team,paiN Gaming, ,Irelia,Yuumi,Ryze,Caitlyn,Sivir,36.55,1,13,1,36,13,1, , , , ,1,1,0,12.53725,0.3556771546,0.02735978112,0.3830369357,1,10.81991667,2,3,2,3,1,1,0,0,0,0,1,13.35445,1,16.52736667,0,0,10,3,1,29.21161667,1,0,46081,1260.766074, , ,166,4.541723666,1,64,1.751025992,48,49,0.7333333333,0.350877193,66544,1170.927497,59000,0.07139283614,927,222,148,6,31.43638851,15083,14515,568,23337,21200,2137,19418,18675,743,323,309,14,478,475,3
1131722,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1131722?gameHash=d5506c2eb64b35ab,CBLoL,2019-2,43624.58569,2,1,9.11,200,Red,Team,Team,Uppercut, ,Morgana,Sona,Aatrox,Renekton,Neeko,36.55,0,1,13,1,1,13, , , , ,0,0,1,12.53725,0.02735978112,0.3556771546,0.3830369357,0,10.81991667,3,2,3,2,2,1,0,0,0,0,0,13.35445,0,16.52736667,1,1,3,10,0,29.21161667,0,1,27329,747.7154583, , ,117,3.201094391,1,65,1.778385773,47,55,0.4528301887,0.3066666667,57412,921.0779754,54933,-0.07139283614,1011,228,173,7,33.89876881,14515,15083,-568,21200,23337,-2137,18675,19418,-743,309,323,-14,475,478,-3
1142107,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1142107?gameHash=ebc9205369e1eed6,CBLoL,2019-2,43625.44025,2,2,9.11,1,Blue,Top,Tay,INTZ,Akali,Zoe,Irelia,Tristana,Syndra,Rakan,37.18333333,1,4,2,5,21,12,0,0,0,0,0,0,0,8.076233333,0.1075750784,0.02689376961,0.8874943971,0,7.047783333,1,4,0,0,0,0,0,0,0,0,0,,0,11.69475,1,1,10,2,0,22.12496667,1,1,5326,143.2362169,0.06635602512,0.1780028092,27,0.7261317795,0.178807947,10,0.2689376961,5,5, , ,13419,231.0755715,11860,-0.04653078032,248,16,4,12,7.099955177,3125,3055,70,4769,4895,-126,4669,4648,21,80,77,3,116,106,10
1142107,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1142107?gameHash=ebc9205369e1eed6,CBLoL,2019-2,43625.44025,2,2,9.11,2,Blue,Jungle,Shini,INTZ,Rek'Sai,Zoe,Irelia,Tristana,Syndra,Rakan,37.18333333,1,5,1,7,21,12,0,0,0,0,0,0,0,8.076233333,0.1344688481,0.1344688481,0.8874943971,0,7.047783333,1,4,1,2,1,0,0,0,0,0,0,,0,11.69475,1,1,10,2,0,22.12496667,1,1,12422,334.0744061,0.1547642779,0.2150860372,34,0.9143881667,0.2251655629,17,0.4571940834,11,12, , ,15209,279.2154191,13775,0.1171950048,72,173,109,20,6.588973554,3599,3229,370,5655,5522,133,4123,3227,896,72,64,8,96,88,8
1142107,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1142107?gameHash=ebc9205369e1eed6,CBLoL,2019-2,43625.44025,2,2,9.11,3,Blue,Middle,Envy,INTZ,Ryze,Zoe,Irelia,Tristana,Syndra,Rakan,37.18333333,1,5,4,9,21,12,2,0,0,0,0,0,0,8.076233333,0.1344688481,0.05378753922,0.8874943971,0,7.047783333,1,4,0,0,0,0,0,0,0,0,0,,0,11.69475,1,1,10,2,0,22.12496667,1,1,12869,346.0959211,0.1603333998,0.2336898019,9,0.2420439265,0.05960264901,14,0.3765127745,5,6, , ,16107,303.3660242,13900,0.1667965705,303,44,28,2,9.332138055,3644,3379,265,5601,5407,194,4785,5037,-252,94,93,1,149,138,11
1142107,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1142107?gameHash=ebc9205369e1eed6,CBLoL,2019-2,43625.44025,2,2,9.11,4,Blue,ADC,micaO,INTZ,Ezreal,Zoe,Irelia,Tristana,Syndra,Rakan,37.18333333,1,7,3,12,21,12,2,0,0,0,0,0,1,8.076233333,0.1882563873,0.1075750784,0.8874943971,0,7.047783333,1,4,0,2,0,0,0,0,0,0,0,,0,11.69475,1,1,10,2,0,22.12496667,1,1,34295,922.3218288,0.4272774843,0.2582185963,18,0.484087853,0.119205298,17,0.4571940834,8,8, , ,17291,335.2082474,16450,0.04031007752,294,14,8,6,8.28328104,3413,3520,-107,5556,7493,-1937,3049,3269,-220,80,79,1,123,132,-9
1142107,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1142107?gameHash=ebc9205369e1eed6,CBLoL,2019-2,43625.44025,2,2,9.11,5,Blue,Support,RedBert,INTZ,Yuumi,Zoe,Irelia,Tristana,Syndra,Rakan,37.18333333,1,0,2,18,21,12,0,0,0,0,0,0,0,8.076233333,0,0,0.8874943971,0,7.047783333,1,4,0,0,0,0,0,0,0,0,0,,0,11.69475,1,1,10,2,0,22.12496667,1,1,15352,412.8731511,0.1912688129,0.1150027553,63,1.694307485,0.417218543,19,0.5109816226,20,20, , ,10378,149.2916181,9300,0.2342342342,32,0,0,0,0.8606006275,2018,2289,-271,3401,3244,157,3025,2927,98,6,21,-15,14,23,-9
1142107,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1142107?gameHash=ebc9205369e1eed6,CBLoL,2019-2,43625.44025,2,2,9.11,6,Red,Top,Duclou,CNB,Neeko,Jayce,Aatrox,Sylas,Skarner,Sejuani,37.18333333,0,1,5,5,12,21,0,0,0,0,0,0,0,8.076233333,0.02689376961,0.1075750784,0.8874943971,0,7.047783333,4,1,0,0,0,0,0,0,0,0,1,,1,11.69475,0,0,2,10,1,22.12496667,1,1,10205,274.4509189,0.2000117596,0.191939544,24,0.6454504706,0.1610738255,7,0.1882563873,7,7, , ,12223,198.910623,12425,0.04653078032,252,27,25,0,7.503361721,3055,3125,-70,4895,4769,126,4648,4669,-21,77,80,-3,106,116,-10
1142107,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1142107?gameHash=ebc9205369e1eed6,CBLoL,2019-2,43625.44025,2,2,9.11,7,Red,Jungle,Freire,CNB,Jarvan IV,Jayce,Aatrox,Sylas,Skarner,Sejuani,37.18333333,0,5,3,5,12,21,0,0,0,0,0,1,0,8.076233333,0.1344688481,0.1344688481,0.8874943971,1,7.047783333,4,1,2,1,0,0,2,0,0,0,1,,1,11.69475,0,0,2,10,1,22.12496667,1,1,9223,248.0412371,0.1807651601,0.2067058011,43,1.156432093,0.288590604,26,0.6992380099,12,12, , ,12792,214.2131779,12250,-0.1171950048,65,116,73,4,4.867772299,3229,3599,-370,5522,5655,-133,3227,4123,-896,64,72,-8,88,96,-8
